Country,County,Latitude,Longitude
RoI,Kerry,52.138297,-10.269771
RoI,Kerry,51.884003,-9.589492
RoI,Kerry,52.063371,-9.49493
RoI,Kerry,52.059838,-9.481015
RoI,Kerry,52.059533,-9.507251
RoI,Kerry,52.052998,-9.507077
RoI,Kerry,52.107344,-9.786073
RoI,Kerry,52.449026,-9.48427
RoI,Kerry,52.444613,-9.485837
RoI,Kerry,51.839336,-9.901316
RoI,Kerry,52.271,-9.71
RoI,Kerry,52.270976,-9.699875
RoI,Kerry,52.268,-9.7075
RoI,Kerry,52.2666,-9.70961
RoI,Kerry,52.265904,-9.682922
RoI,Kerry,52.260883,-9.714192
RoI,Kildare,52.991951,-6.976647
RoI,Kildare,53.133579,-6.614196
RoI,Kildare,53.344094,-6.54479
RoI,Kildare,53.323004,-6.523586
RoI,Kildare,53.295128,-6.682571
RoI,Kildare,53.157013,-6.9173
RoI,Kildare,53.08707,-6.755891
RoI,Kildare,53.162374,-6.908265
RoI,Kildare,53.369508,-6.507169
RoI,Kildare,53.381508,-6.580913
RoI,Kildare,53.380865,-6.581169
RoI,Kildare,53.145372,-7.06519
RoI,Kildare,53.145072,-7.01151
RoI,Kildare,53.239404,-6.660165
RoI,Kildare,53.220686,-6.65798
RoI,Kildare,53.218385,-6.658147
RoI,Kildare,53.214347,-6.665187
RoI,Kildare,53.185063,-6.808063
RoI,Kildare,53.173483,-6.806047
RoI,Kildare,53.246846,-6.66414
RoI,Kilkenny,52.542453,-7.392293
RoI,Kilkenny,52.655331,-7.260136
RoI,Kilkenny,52.63539,-7.244195
RoI,Kilkenny,52.655593,-7.247032
RoI,Kilkenny,52.654109,-7.244226
RoI,Kilkenny,52.652859,-7.248367
RoI,Kilkenny,52.650076,-7.257542
RoI,Kilkenny,52.28757,-7.061164
RoI,Kilkenny,52.526499,-7.135967
RoI,Kilkenny,52.719319,-7.585956
RoI,Laois,52.913019,-7.346601
RoI,Laois,52.866617,-7.480896
RoI,Laois,53.118234,-7.333091
RoI,Laois,53.160461,-7.187451
RoI,Laois,53.146359,-7.181829
RoI,Laois,53.036631,-7.301402
RoI,Laois,53.032991,-7.298964
RoI,Laois,53.030737,-7.301713
RoI,Laois,53.014096,-7.308305
RoI,Leitrim,53.943937,-8.098735
RoI,Leitrim,53.922426,-7.866286
RoI,Limerick,52.387722,-9.298849
RoI,Limerick,52.384589,-9.298733
RoI,Limerick,52.565132,-8.790471
RoI,Limerick,52.675091,-8.5739
RoI,Limerick,52.607471,-9.099685
RoI,Limerick,52.6716,-8.63531
RoI,Limerick,52.667322,-8.623874
RoI,Limerick,52.663928,-8.629209
RoI,Limerick,52.6638,-8.6216
RoI,Limerick,52.661893,-8.632049
RoI,Limerick,52.6597,-8.6276
RoI,Limerick,52.6582,-8.6294
RoI,Limerick,52.652717,-8.593319
RoI,Limerick,52.449916,-9.046759
RoI,Limerick,52.452409,-9.061489
RoI,Limerick,52.44862,-9.053228
RoI,Longford,53.562243,-7.763038
RoI,Longford,53.689312,-7.604182
RoI,Longford,53.73057,-7.8016
RoI,Longford,53.725111,-7.800276
RoI,Longford,53.724529,-7.78376
RoI,Longford,53.723916,-7.795273
RoI,Louth,53.860912,-6.542098
RoI,Louth,53.963924,-6.364996
RoI,Louth,54.040456,-6.185322
RoI,Louth,53.717924,-6.363419
RoI,Louth,53.71713,-6.354049
RoI,Louth,53.7119,-6.3366
RoI,Louth,53.710949,-6.355072
